Header_line;24
location;Drammen - Norway
year_of_construction;1986
floor_area;3327
number_of_users;49
number_of_units;5
building_category;Nsh
energy_label;C
notes;Renovated/expanded in 2009
central_heating_system;0
dhw_heat_source;HWH
sh_heat_source;EH
ventilation_heat_source;EHB
ventilation_types;DCV
night_setback;1
lighting_control;0
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;6410

;Weather variable;Weather variable;Weather variable;Weather variable;Electricity import;Electricity use;Heat use
;C;W/m2;m/s;deg;Wh;Wh;Wh
;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Electricity imported ;Electricity for DHW production and heat tracing;Domestic Hot Water
TimeStamp;Tout;SolGlob;WindSpd;WindDir;ElImp;ElDHW;HtDHW
2018-01-11T13:00:00+0100;-1.85;14.42;2.56;357.4;158000.0;;
2018-01-11T14:00:00+0100;-1.77;9.92;2.48;6.01;158000.0;;
2018-01-11T15:00:00+0100;-1.75;1.95;2.25;7.73;142000.0;;
2018-01-11T16:00:00+0100;-1.72;0.0;2.19;16.7;152000.0;;
2018-01-11T17:00:00+0100;-1.81;0.0;2.08;15.92;141000.0;;
2018-01-11T18:00:00+0100;-1.83;0.0;2.09;21.74;141000.0;;
2018-01-11T19:00:00+0100;-1.81;0.0;2.07;14.47;143000.0;;
2018-01-11T20:00:00+0100;-1.83;0.0;2.11;11.97;135000.0;;
2018-01-11T21:00:00+0100;-1.96;0.0;1.9;20.87;123000.0;;
2018-01-11T22:00:00+0100;-2.2;0.0;1.97;24.19;78000.0;;
2018-01-11T23:00:00+0100;-2.42;0.0;2.07;23.48;78000.0;;
2018-01-12T00:00:00+0100;-3.09;0.0;2.23;21.33;86000.0;;
2018-01-12T01:00:00+0100;-3.64;0.0;2.37;23.18;70000.0;;
2018-01-12T02:00:00+0100;-3.97;0.0;2.19;11.1;64000.0;;
2018-01-12T03:00:00+0100;-4.09;0.0;2.07;0.29;64000.0;;
2018-01-12T04:00:00+0100;-4.03;0.0;1.92;2.34;64000.0;;
2018-01-12T05:00:00+0100;-3.92;0.0;1.72;6.42;123000.0;;
2018-01-12T06:00:00+0100;-3.76;-0.0;1.92;2.88;105000.0;;
2018-01-12T07:00:00+0100;-3.65;0.0;1.79;3.56;149000.0;;
2018-01-12T08:00:00+0100;-3.49;0.0;1.58;350.99;161000.0;;
2018-01-12T09:00:00+0100;-3.32;12.15;1.77;349.86;156000.0;;
2018-01-12T10:00:00+0100;-3.48;60.68;1.89;343.76;145000.0;;
2018-01-12T11:00:00+0100;-3.29;102.77;2.05;340.46;160000.0;;
2018-01-12T12:00:00+0100;-2.89;123.16;1.94;334.25;143000.0;;
2018-01-12T13:00:00+0100;-2.8;106.56;2.03;323.14;156000.0;;
2018-01-12T14:00:00+0100;-2.86;57.92;2.21;326.98;147000.0;;
2018-01-12T15:00:00+0100;-3.06;3.45;2.44;320.58;144000.0;;
2018-01-12T16:00:00+0100;-3.21;0.0;2.1;315.72;151000.0;;
2018-01-12T17:00:00+0100;-3.23;0.02;1.85;313.62;139000.0;;
2018-01-12T18:00:00+0100;-3.36;0.0;2.06;325.87;143000.0;;
2018-01-12T19:00:00+0100;-3.4;0.0;1.98;324.78;135000.0;;
2018-01-12T20:00:00+0100;-3.43;0.0;2.05;320.6;148000.0;;
2018-01-12T21:00:00+0100;-3.28;0.0;1.98;321.25;120000.0;;
2018-01-12T22:00:00+0100;-3.23;0.0;1.93;336.35;79000.0;;
2018-01-12T23:00:00+0100;-3.14;0.0;1.78;338.23;76000.0;;
2018-01-13T00:00:00+0100;-3.09;0.0;1.86;338.75;72000.0;;
2018-01-13T01:00:00+0100;-3.03;0.0;1.89;347.83;66000.0;;
2018-01-13T02:00:00+0100;-3.03;0.0;1.75;349.02;63000.0;;
