Header_line;17
location;Oslo Norway
year_of_construction;2009
floor_area;15127
number_of_users;1100
building_category;Sch
dhw_heat_source;DH
sh_heat_source;DH
pv;Roof:x:x
timestamp_format;%Y-%m-%dT%H:%M:%S%z
time_zone;Etc/Gmt-1
building_id;8102

;Heat import;Electricity import;Heat use;Electricity use;Electricity production;Weather variable;Weather variable;Weather variable;Weather variable;Weather variable
;Wh;Wh;Wh;Wh;Wh;C;W/m2;m/s;deg;%
;Imported District Heating;Electricity imported ;Heat Total = HtSpace + HtDHW;Electricity exported;Electricity production from PV;Temperature Outdoor;Global Solar Horizontal Radiation;Wind_speed;Wind_dir;Relative Humidity
TimeStamp;HtDH;ElImp;HtTot;ElExp;ElPV;Tout;SolGlob;WindSpd;WindDir;RH
2020-01-06T01:00:00+0100;230000.0;97200.0;230000.0;;;0.6144042968750227;1.569577801063815e-14;0.88215834;74.28882;0.98639643
2020-01-06T02:00:00+0100;220000.0;96600.0;220000.0;;;0.5188537597656477;1.569577801063815e-14;0.7695128;62.561504;0.9825661
2020-01-06T03:00:00+0100;210000.0;96600.0;210000.0;;;0.8007141113281477;1.569577801063815e-14;1.0076662;71.52023;0.9580916
2020-01-06T04:00:00+0100;210000.0;97200.0;210000.0;;;0.9270568847656476;1.5703672929924375e-14;1.120592;80.32481;0.924156
2020-01-06T05:00:00+0100;250000.0;107400.0;250000.0;;;1.1224609375000227;1.571151002509473e-14;0.8018421;82.40371;0.9150618
2020-01-06T06:00:00+0100;320000.0;192600.0;320000.0;;;1.0880065917968975;1.569577801063815e-14;0.6118425;55.879936;0.92804676
2020-01-06T07:00:00+0100;370000.0;243600.0;370000.0;;;1.3139587402343975;-9.419039622334442e-14;0.5732376;17.256243;0.92024964
2020-01-06T08:00:00+0100;370000.0;276600.0;370000.0;;;1.5834899902343975;0.0;0.596482;32.345623;0.9271313
2020-01-06T09:00:00+0100;370000.0;298800.0;370000.0;;;1.7146850585937727;3.52;0.7335742;70.537315;0.9274975
2020-01-06T10:00:00+0100;340000.0;297000.0;340000.0;;;1.9827514648437727;20.8;0.7660132;181.33463;0.9772565
2020-01-06T11:00:00+0100;330000.0;267000.0;330000.0;;;2.4062438964843977;25.546666666666667;0.7058346;255.87369;0.97832453
2020-01-06T12:00:00+0100;300000.0;258600.00000000003;300000.0;;;2.9951416015625227;28.08888888888889;0.62926036;297.06592;0.9790722
2020-01-06T13:00:00+0100;310000.0;255000.0;310000.0;;;3.6009460449218977;21.49333333333333;0.69334346;194.07553;0.97899586
2020-01-06T14:00:00+0100;300000.0;240000.0;300000.0;;;3.740289306640648;10.186666666666667;0.7358862;283.86313;0.9792553
2020-01-06T15:00:00+0100;310000.0;219000.0;310000.0;;;3.7612243652343977;0.5333333333333333;0.69164;27.749155;0.97806513
2020-01-06T16:00:00+0100;290000.0;207600.0;290000.0;;;3.458428955078148;0.0;0.872701;291.93307;0.9793459
2020-01-06T17:00:00+0100;260000.0;195600.0;260000.0;;;2.8705993652343977;0.0;1.1573339;244.67174;0.979132
2020-01-06T18:00:00+0100;230000.0;157800.0;230000.0;;;3.0146728515625227;0.0;1.2664429;259.6114;0.97962075
2020-01-06T19:00:00+0100;230000.0;150000.0;230000.0;;;3.8691040039062727;0.0;1.8272014;250.13579;0.98938674
2020-01-06T20:00:00+0100;130000.0;102600.0;130000.0;;;4.050256347656273;0.0;3.3068085;216.54349;0.99123335
2020-01-06T21:00:00+0100;130000.0;99600.0;130000.0;;;5.467431640625023;1.4523382496633985e-14;5.7806926;193.22282;0.96839076
2020-01-06T22:00:00+0100;120000.0;81600.0;120000.0;;;5.645806884765648;1.448785535984598e-14;5.6818237;193.33179;0.9101022
2020-01-06T23:00:00+0100;120000.0;78000.0;120000.0;;;5.455255126953148;1.443253310072655e-14;5.270888;197.17561;0.885261
2020-01-07T00:00:00+0100;130000.0;67200.0;130000.0;;;5.174798583984398;1.4432590924842418e-14;4.8311315;202.56105;0.91661733
2020-01-07T01:00:00+0100;130000.0;67800.0;130000.0;;;4.824151611328148;1.4416801086269972e-14;4.6667686;205.92577;0.9279087
2020-01-07T02:00:00+0100;140000.0;67200.0;140000.0;;;4.610894775390648;1.4416801086269972e-14;4.0095468;208.3863;0.9446175
2020-01-07T03:00:00+0100;190000.0;67200.0;190000.0;;;4.400109863281273;1.4404958707340635e-14;3.3981936;209.46068;0.9474098
2020-01-07T04:00:00+0100;170000.0;67200.0;170000.0;;;3.9801879882812727;1.4408906166983748e-14;2.938525;204.30737;0.9452124
2020-01-07T05:00:00+0100;180000.0;79800.0;180000.0;;;4.043756103515648;1.4400953423581658e-14;2.0435455;216.5803;0.9584877
2020-01-07T06:00:00+0100;270000.0;162000.0;270000.0;;;4.113214111328148;1.4416801086269972e-14;2.164126;216.72632;0.96118855
2020-01-07T07:00:00+0100;320000.0;198600.0;320000.0;;;4.203607177734398;-8.645337532284558e-14;2.1576717;197.02571;0.95481044
2020-01-07T08:00:00+0100;310000.0;222600.0;310000.0;;;3.8972412109375214;0.0;1.1238297;204.15755;0.9486307
2020-01-07T09:00:00+0100;310000.0;240600.0;310000.0;;;3.9427124023437727;6.986666666666666;1.5323439;180.00197;0.9528727
2020-01-07T10:00:00+0100;290000.0;246000.0;290000.0;;;4.095513916015648;30.41777777777778;1.6446407;190.76544;0.9634623
2020-01-07T11:00:00+0100;270000.0;250800.0;270000.0;;;4.481225585937523;44.01777777777778;2.1297576;191.92314;0.979224
2020-01-07T12:00:00+0100;270000.0;256200.0;270000.0;;;4.787133789062523;72.49777777777778;1.9701775;190.50798;0.97391385
2020-01-07T13:00:00+0100;280000.0;245400.0;280000.0;;;4.998284912109398;63.644444444444446;1.8381234;211.91028;0.9543674
2020-01-07T14:00:00+0100;260000.0;230400.0;260000.0;;;5.045007324218773;33.95555555555556;1.6762486;193.6247;0.9566254
2020-01-07T15:00:00+0100;270000.0;214200.0;270000.0;;;4.723321533203148;1.742222222222222;2.0609255;228.91747;0.9740362
2020-01-07T16:00:00+0100;220000.0;195600.0;220000.0;;;4.685784912109398;0.0;4.9642243;190.50659;0.84668654
2020-01-07T17:00:00+0100;210000.0;178800.0;210000.0;;;5.143640136718773;0.0;4.9789777;190.98778;0.8648442
2020-01-07T18:00:00+0100;200000.0;149400.0;200000.0;;;5.528985595703148;0.0;5.091422;197.62288;0.8791874
2020-01-07T19:00:00+0100;180000.0;146400.0;180000.0;;;5.861108398437523;0.0;6.466814;200.91693;0.8761296
2020-01-07T20:00:00+0100;130000.0;102000.0;130000.0;;;6.011010742187523;0.0;7.6722703;198.28134;0.8660971
2020-01-07T21:00:00+0100;120000.0;100800.0;120000.0;;;6.151086425781273;1.4231270483043723e-14;8.055096;198.56079;0.880051
2020-01-07T22:00:00+0100;100000.0;69600.0;100000.0;;;6.341027832031273;1.4235217942686832e-14;8.257409;195.51785;0.8801117
2020-01-07T23:00:00+0100;110000.0;68400.0;110000.0;;;6.033929443359398;1.4235160118570967e-14;7.785013;193.7465;0.947868
